state_clean,district,OPI,cluster_label
manipur,pherzawl,96.76136364297811,High Volume Infrastructure Hubs
karnataka,bengaluru south,95.27535275484924,High Volume Infrastructure Hubs
assam,tamulpur district,85.51577287633715,High Volume Infrastructure Hubs
rajasthan,deeg,83.22221107133315,High Volume Infrastructure Hubs
west bengal,south 24 pargana,78.7931034459899,High Volume Infrastructure Hubs
chhattisgarh,manendragarh–chirmiri–bharatpur,78.34321876965959,Extreme Youth Gap Districts
sikkim,namchi,77.95212766212939,High Volume Infrastructure Hubs
assam,bajali,77.04955875390466,Extreme Youth Gap Districts
bihar,bhabua,75.20161290826421,High Volume Infrastructure Hubs
arunachal pradesh,kamle,74.76415095095986,High Volume Infrastructure Hubs
